a1	a3	a4	G_theta	G_k	E_lambda	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	0.1	2	2	1	1	0	2.1029999999999998	-0.14046465917395262	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	2.2026666666666666	-0.09754435120048716	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	2.3023333333333333	-0.05012585060201119	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	2.4019999999999997	0.0022622451808824162	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	2.5016666666666665	0.060140754567621635	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	2.6013333333333333	0.12408508384775402	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	2.7009999999999996	0.194730945317321	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	2.8006666666666664	0.27278067635705977	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	2.900333333333333	0.3590102214458715	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	3.0	0.40270228505177885	5.5	nan
0.1	0.1	0.1	2	2	1	2	1	0.01	0.45	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	0.10966666666666666	0.45	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	0.20933333333333334	0.45	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	0.309	0.45	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	0.4086666666666667	0.354460248851139	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	0.5083333333333333	-0.12872558307921295	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	0.608	-0.32026830018141167	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	0.7076666666666667	-0.3923055041110592	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	0.8073333333333333	-0.41497302592011925	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	0.907	-0.4168049454778859	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	1.0066666666666666	-0.40936352481943267	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	1.1063333333333334	-0.39728234567615034	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	1.206	-0.38236100326091044	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	1.3056666666666668	-0.3652339922205217	6.5	nan
0.1	0.1	0.1	2	2	1	2	1	1.4053333333333333	-0.34605027579262254	6.5	nan
